what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1272669047888
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1272669047888
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1272669047950
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1272669047950
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1272669047950
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1272669047966
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1272669047981
stopped,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1272669047981
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1272669047981
stopped,bundle,org.eclipse.mylyn.ide.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ui",1272669047981
stopped,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1272669047981
stopped,bundle,org.eclipse.mylyn.resources.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.resources.ui",1272669047981
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.2.1.v20100222-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1272669047981
stopped,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1272669047981
stopped,bundle,org.eclipse.mylyn.help.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.help.ui",1272669047981
